REQUEST: Time: 2021-12-26T21:18:55.377Z |Path: /customers/ |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T21:19:09.644Z |Path: /customers/C32515 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T21:20:24.564Z |Path: /customers/C32515 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T21:51:02.754Z |Path: /customers/C32515 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T21:52:55.027Z |Path: /cases/1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T21:59:17.206Z |Path: /customers/C32515 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T21:59:20.700Z |Path: /cases/1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:00:14.728Z |Path: /cases/1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:00:19.729Z |Path: /customers/C32515 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:00:23.599Z |Path: /cases/1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:04:22.890Z |Path: /cases/1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:04:30.561Z |Path: /customers/C32515 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:04:53.118Z |Path: /cases/1001 |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:10:08.057Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:10:46.900Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:12:25.721Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
REQUEST: Time: 2021-12-26T22:13:48.603Z |Path: /cases/create |IP-Address: ::1 |User agent: PostmanRuntime/7.28.4 
